ACS_formiga_dist,Elitist_formiga_dist,MaxMin_formiga_dist
9950.717317251874,8615.432043798686,7192.569444641566
8004.398476702905,8273.309825535629,6815.911065772045
7895.675182880427,6852.747117975234,6661.468582980932
7077.410524728552,8183.786306937796,6661.468582980932
8742.621564223979,10015.985489720935,6661.468582980931
7029.175819362117,8284.516624814889,7411.986306426617
8391.360386892873,6774.864537404441,6720.940616618313
7974.936649366022,8709.275731052016,6661.4685829809305
7387.974969905006,7288.292579919354,6799.523182994614
6811.179942840481,6882.88377952851,6700.769725059531
